,Ti,Fe,Zr,Nb,Sn,Ta,Mo,Al,V,Cr,Cu,Hf,Mn,W,Ni,Sc,Si
147,0.7474000000000001,0.0,0.020300000000000002,0.22540000000000002,0.0,0.006900000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,0.7305,0.0,0.0449,0.2109,0.0137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,0.9363,0.0,0.0,0.0,0.0,0.0,0.0637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.906,0.0,0.0286,0.0,0.0,0.0,0.0654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,0.7828,0.0,0.0,0.2172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,0.7665000000000001,0.0,0.0,0.22110000000000002,0.012400000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,0.7495,0.0,0.0,0.2253,0.0252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,0.732,0.0,0.0,0.2295,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,0.9144,0.0,0.0,0.0,0.0061,0.0,0.0,0.0,0.0,0.0795,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,0.9335,0.0,0.0,0.0,0.0,0.0,0.0493,0.0,0.0,0.0,0.0,0.0,0.0,0.0172,0.0,0.0,0.0
157,0.9344,0.0002,0.0,0.0,0.0,0.0,0.0654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,0.7842215778422158,0.0,0.025197480251974803,0.1518848115188481,0.038696130386961305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,0.46085391460853914,0.0006999300069993001,0.29167083291670837,0.0,0.0,0.0,0.0,0.0,0.24307569243075694,0.0,0.0,0.0,0.0,0.0,0.0036996300369963007,0.0,0.0
160,0.7883,0.0,0.0243,0.15,0.0374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,0.7823,0.0,0.0257,0.1522,0.0398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,0.7818781878187818,0.0,0.025902590259025898,0.1528152815281528,0.0394039403940394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,0.7861,0.0,0.024,0.1504,0.0395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,0.8534,0.0,0.0,0.1466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,0.8426,0.0,0.0,0.1497,0.0,0.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,0.8313,0.0,0.0,0.153,0.0,0.0157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,0.8195,0.0,0.0,0.1564,0.0,0.0241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
