,w,IR
389,650.4825097618844,1.7341507134193704e+28
390,652.1504136330689,1.8668705730285417e+28
391,653.8183175042531,1.776360579196987e+28
392,655.4862213754375,1.3023999771183695e+28
393,657.1541252466217,1.6329852071029417e+28
394,658.8220291178061,1.8104652003045002e+28
395,660.4899329889904,1.8183641102876753e+28
396,662.1578368601747,1.5190571626993798e+28
397,663.825740731359,1.2804408408059082e+28
398,665.4936446025433,1.2896922486555772e+28
399,667.1615484737276,1.870052156808306e+28
400,668.829452344912,1.418085420267142e+28
401,670.4973562160963,1.6173812805457117e+28
402,672.1652600872807,1.6391507422636688e+28
403,673.8331639584649,1.31751708140401e+28
404,675.5010678296493,2.0456188474031585e+28
405,677.1689717008336,1.1534908216150473e+28
406,678.8368755720179,2.001150704847739e+28
407,680.5047794432022,1.5760874954802663e+28
408,682.1726833143865,2.24639701798813e+28
409,683.8405871855708,1.234351233943072e+28
410,685.5084910567552,9.164844565584044e+27
411,687.1763949279394,1.0945844666716781e+28
412,688.8442987991239,1.4344213772691863e+28
413,690.512202670308,1.6065436726402933e+28
414,692.1801065414925,1.324550018760233e+28
415,693.8480104126768,9.905247802249755e+27
416,695.5159142838611,1.5386879177420516e+28
417,697.1838181550454,1.8450042060063712e+28
418,698.8517220262297,1.0476502890383676e+28
419,700.519625897414,7.51929390902314e+27
420,702.1875297685984,1.6751584055603178e+28
421,703.8554336397826,1.4921603949327156e+28
422,705.523337510967,1.495807627307202e+28
423,707.1912413821512,1.4259821325903876e+28
424,708.8591452533357,1.5434683555731317e+28
425,710.52704912452,1.3203551147932413e+28
426,712.1949529957043,1.6278396955346375e+28
427,713.8628568668886,5.41410370721337e+27
428,715.5307607380729,1.6898711633357999e+28
429,717.1986646092572,1.3340566510856579e+28
430,718.8665684804416,1.1418346513016572e+28
431,720.5344723516258,1.1100728914571203e+28
432,722.2023762228102,1.1471699119349512e+28
433,723.8702800939944,1.1836723145891484e+28
434,725.5381839651789,1.3757898855715881e+28
435,727.2060878363632,7.97579052974491e+27
436,728.8739917075475,1.0856192927342148e+28
437,730.5418955787318,7.7166484500255e+27
438,732.2097994499161,1.1926082403660102e+28
439,733.8777033211004,6.139285099153659e+27
440,735.5456071922848,1.0060380990809482e+28
441,737.213511063469,8.985470841250939e+27
442,738.8814149346534,6.335403054706056e+27
443,740.5493188058376,7.509632163480556e+27
444,742.217222677022,7.009584156281611e+27
445,743.8851265482064,6.722570374054738e+27
446,745.5530304193907,8.401671225243397e+27
447,747.220934290575,4.6149270962781415e+27
448,748.8888381617593,6.21976150068586e+27
449,750.5567420329436,4.268140587835342e+27
450,752.224645904128,7.178450869899213e+27
451,753.8925497753122,4.6070067283917825e+27
452,755.5604536464966,5.678625701261054e+27
453,757.2283575176808,3.794845133799421e+27
454,758.8962613888652,3.7783267966011613e+27
455,760.5641652600495,2.970829628746044e+27
456,762.2320691312339,4.597415782131194e+27
457,763.8999730024182,3.18494912272444e+27
458,765.5678768736025,3.8147916886895884e+27
459,767.2357807447868,3.401838254666747e+27
460,768.9036846159712,4.1984340563031205e+27
461,770.5715884871554,2.4874427739657454e+27
462,772.2394923583398,3.3083059651831467e+27
463,773.907396229524,3.5230622054030315e+27
464,775.5753001007084,3.6372677083068707e+27
465,777.2432039718927,1.6734432160472326e+27
466,778.911107843077,2.915593819060916e+27
467,780.5790117142614,2.6563090730012947e+27
468,782.2469155854457,3.4339207534519277e+27
469,783.91481945663,1.717834346625095e+27
470,785.5827233278143,2.79175577976743e+27
471,787.2506271989986,2.0511074635077402e+27
472,788.918531070183,2.731625434630901e+27
473,790.5864349413672,1.8887830533629593e+27
474,792.2543388125516,2.6146533752020685e+27
475,793.9222426837358,2.1919462951048277e+27
476,795.5901465549202,2.19254696049614e+27
477,797.2580504261045,1.4704559966934145e+27
478,798.9259542972889,2.2621532441216237e+27
479,800.5938581684732,1.0027400585347729e+27
480,802.2617620396575,1.710822634129873e+27
481,803.9296659108418,1.6007538466941086e+27
